Designator,Footprint,Mid X,Mid Y,Rotation,Layer
R49,R0603,266.7,52.39,270,Bottom
R5,R0603,44.83,48.88,90,Bottom
R50,R0603,35.72,33.34,270,Bottom
R51,R0603,66.67,33.34,270,Bottom
R52,R0603,85.73,33.34,270,Bottom
R53,R0603,104.78,33.34,270,Bottom
R54,R0603,123.83,33.34,270,Bottom
R55,R0603,142.88,33.34,270,Bottom
R56,R0603,161.93,33.34,270,Bottom
R57,R0603,180.98,33.34,270,Bottom
R58,R0603,200.03,33.34,270,Bottom
R59,R0603,219.08,33.34,270,Bottom
R6,R0603,35.01,48.96,90,Bottom
R60,R0603,238.13,33.34,270,Bottom
R61,R0603,264.32,33.34,270,Bottom
R62,R0603,273.84,33.34,270,Bottom
R63,R0603,290.51,33.34,270,Bottom
R64,R0603,40.48,14.29,270,Bottom
R65,R0603,52.39,14.29,270,Bottom
R66,R0603,76.2,14.29,270,Bottom
R67,R0603,116.68,14.29,270,Bottom
R68,R0603,145.26,14.29,270,Bottom
R69,R0603,200.03,16.67,270,Bottom
R7,R0603,29.35,55.56,270,Bottom
R70,R0603,28.51,64.39,0,Bottom
R71,R0603,240.51,14.29,270,Bottom
R72,R0603,264.32,14.29,270,Bottom
R73,R0603,288.13,14.29,270,Bottom
R74,R0603,288.19,61.87,270,Bottom
R8,R0603,23.81,90.49,270,Bottom
R9,R0603,41.23,91.2,270,Bottom
SW1,SWITCH-SMD-EVP-BB2A9B00,46.93,49.29,90,Bottom
U$1,QFN-44,37.79,65.21,0,Bottom
U$2,PRTR5V0U2X,50.65,44.2,90,Bottom
X1,B4B-PH-SM4-TB,48.02,86.91,180,Bottom
Y1, CRYSTAL-3.2X2.5,38.55,52.33,0,Bottom
